,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
16192,2023,Abril,2023-04-20,09:20:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,40,FISICA,ROMA NORTE,CUAUHTEMOC,19.4181634093651,-99.1642538797997
16193,2023,Abril,2023-04-20,02:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,48,FISICA,DOCTORES,CUAUHTEMOC,19.4171262279217,-99.1467216603514
16194,2023,Abril,2023-04-20,08:00:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,32,FISICA,GUERRERO,CUAUHTEMOC,19.4373475739991,-99.1466961804249
16195,2023,Abril,2023-04-14,01:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,31,FISICA,ROMA NORTE,CUAUHTEMOC,19.4202351378733,-99.1727444502265
16196,2023,Abril,2023-04-18,18:30:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,26,FISICA,CENTRO,CUAUHTEMOC,19.4365768673131,-99.1404734897077
16197,2023,Abril,2023-04-16,01:03:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,44,FISICA,HIPÓDROMO CONDESA,CUAUHTEMOC,19.4111940837209,-99.1746971000857
16198,2023,Abril,2023-04-20,07:20:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Masculino,27,FISICA,SAN RAFAEL,CUAUHTEMOC,19.4353173899646,-99.1645780203346
16199,2023,Abril,2023-04-20,15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,64,FISICA,MORELOS,CUAUHTEMOC,19.4468219895404,-99.1277799495667
16200,2023,Abril,2023-04-16,20:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,36,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4522794667758,-99.1380929904488
16201,2023,Abril,2023-04-17,19:00:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Femenino,48,FISICA,BUENAVISTA,CUAUHTEMOC,19.4407729836888,-99.1527409902571
