_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
15089,2023,Enero,2023-01-21,2024-11-11T08:25:00.000Z,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,32,FISICA,VISTA ALEGRE,CUAUHTEMOC,19.4084608577645,-99.1341467902085
15090,2023,Enero,2023-01-21,2024-11-11T10:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,34,FISICA,VISTA ALEGRE,CUAUHTEMOC,19.4124253487439,-99.1339784895768
15091,2023,Enero,2023-01-18,2024-11-11T12:30:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,64,FISICA,CENTRO,CUAUHTEMOC,19.4347634534105,-99.1440850495693
15092,2023,Enero,2023-01-23,2024-11-11T11:15:00.000Z,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,Masculino,52,FISICA,TRANSITO,CUAUHTEMOC,19.4134188874986,-99.1335236299787
15093,2023,Enero,2023-01-22,2024-11-11T03:00:00.000Z,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Femenino,14,FISICA,GUERRERO,CUAUHTEMOC,19.4520356598478,-99.1457739496815
15094,2023,Enero,2023-01-23,2024-11-11T14:20:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,30,FISICA,ESPERANZA,CUAUHTEMOC,19.4228851002016,-99.1260434404558
15095,2023,Enero,2023-01-21,2024-11-11T22:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,44,FISICA,SAN SIMÓN TOLNAHUAC,CUAUHTEMOC,19.4558519582874,-99.1422117102319
15096,2023,Enero,2023-01-23,2024-11-11T14:19:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,22,FISICA,OBRERA,CUAUHTEMOC,19.4145395084907,-99.141312319631
15097,2023,Enero,2023-01-21,2024-11-11T17:00:00.000Z,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,48,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4132615023784,-99.1697450702919
15098,2023,Enero,2023-01-18,2024-11-11T05:15:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,25,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4441672386699,-99.1648134798168
